Doi,Author,Title,PubDate,Journal,Country,ISO_3,YCoordinate,XCoordinate,SamplingStartYear,SamplingEndYear,Species,Pathogen,Species,Strain,ControlStrain,SampleType,Sal_Prevalence,No_sample,No_Isolate,Antimicrobial,AntimicrobialCompound,AntibioticClass,Percent_resistant,Percent_intermediate,Percent_susceptible,Perc_res_inc_intermediate,Perc_res_excl_intermediate,ASTMethod,No_isolates_resistant,No_isolates_intermediate,No_isolates_susceptible,MDR_percentage,Laboratory_guidelines,Conc.ofAMusedforsusceptibilitytest(µg/ µg/ml),SusceptibleBreakpoint,Notes
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Cefuroxime,CFX,2nd generation Cephalosporin,0,,,,,Agar diffusion,0,10,3,,NCCLS,30,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Norfloxacin,NOR,Fluoroquinolones,0,,,,,Agar diffusion,0,0,13,,NCCLS,10,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Chloromphenicols,CHL,Amphenicols,15,,,,,Agar diffusion,2,1,11,,NCCLS,30,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Gentamycin,GEN,Aminoglycosides,7.7,,,,,Agar diffusion,1,0,12,,NCCLS,10,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Kanamycin,KAN,Aminoglycosides,0,,,,,Agar diffusion,0,5,8,,NCCLS,30,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Nalidixic acid,NAL,Fluoroquinolones,0,,,,,Agar diffusion,0,0,13,,NCCLS,30,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Tetracycline,TET,Tetracycline,54,,,,,Agar diffusion,7,0,6,,NCCLS,30,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Cotrimoxazole,COT,Sulfonamides,46,,,,,Agar diffusion,5,0,8,,NCCLS,25,,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Gentamycin,GEN,Aminoglycosides,3,,,,,Agar dillution,2,,,73.4,CLSI 1999,NA,>=16,"The abbreviations Car, Ctf, Neo and Sul were self-chosen"
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Kanamycin,KAN,Aminoglycosides,11,,,,,Agar dillution,8,,,73.4,CLSI 1999,NA,>=64,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Neomycin,NEO,Aminoglycosides,11,,,,,Agar dillution,8,,,73.4,CLSI 1999,NA,>=16,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Streptomycin,STR,Aminoglycosides,83,,,,,Agar dillution,58,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Amikacin,AMK,Aminoglycosides,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,NA,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Apramycin,APR,Aminoglycosides,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Tobramycin,TOB,Aminoglycosides,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=8,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Spectinomycin,SPT,Aminoglycosides,11,,,,,Agar dillution,8,,,73.4,CLSI 1999,NA,>=64,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Chloromphenicols,CHL,Amphenicols,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Ceftriaxone,FFC,Amphenicols,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=16,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Florfenicol,CFL,1st generation Cephalosporin,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,ceftiofur,CFU,3rd generation Cephalosporin,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=8,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Ceftriaxone,CRO,3rd generation Cephalosporin,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=8,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,cefoxitin,FOX,2nd generation Cephalosporin,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Carbadox,CRB,Quinoxalines,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Nitrofurantoin,NIT,Nitrofurans,74,,,,,Agar dillution,52,,,73.4,CLSI 1999,NA,>=64,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Ampicillin,AMP,Penicillin ,3,,,,,Agar dillution,2,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Amoxycillin-cluvanic acid,AMC,Penicillin ,0,,,,,Agar dillution,0,,,73.4,CLSI 1999,NA,>=32/16,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Ciproflaxin,CIP,Fluoroquinolones,43,,,,,Agar dillution,30,,,73.4,CLSI 1999,NA,>=0.125,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Nalidixic acid,NAL,Fluoroquinolones,43,,,,,Agar dillution,30,,,73.4,CLSI 1999,NA,>=32,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Sulfisoxazole,SOX,"Sulfonamide, Trimethoprim and Combinations",21,,,,,Agar dillution,15,,,73.4,CLSI 1999,NA,>=512,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Sulfamethaxole-trimethoprim,SXT,"Sulfonamide, Trimethoprim and Combinations",1,,,,,Agar dillution,1,,,73.4,CLSI 1999,NA,>=76/4,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Trimethoprim,TMP,"Sulfonamide, Trimethoprim and Combinations",1,,,,,Agar dillution,1,,,73.4,CLSI 1999,NA,>=16,
10.1111/j.1439-0450.2006.00900.x,"Molla, et al.2006",Multidrug resistance and distribution of Salmonella serovars in slaughtered Pig,2006,Journal of Veterinary Medicine,Ethiopia,ETH,8.73,39,2004,2005,Pigs,Salmonella,,,E.coli ATCC 25922,KilledAnimal,,,94,Tetracycline,TET,Tetracycline,89,,,,,Agar dillution,62,,,73.4,CLSI 1999,NA,>=16,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Gentamycin,GEN,Aminoglycosides,,,,,,Disk diffusion,0,,,93.4,CLSI 2012,10,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Kanamycin,KAN,Aminoglycosides,,,,,,Disk diffusion,45,,,93.4,CLSI 2012,30,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Streptomycin,STR,Aminoglycosides,,,,,,Disk diffusion,44,,,93.4,CLSI 2012,10,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Chloromphenicols,CHL,Amphenicols,,,,,,Disk diffusion,41,,,93.4,CLSI 2012,30,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Cefoxitin,FOX,2nd generation Cephalosporin,,,,,,Disk diffusion,44,,,93.4,CLSI 2012,30,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Ampicillin,AMP,Penicillin ,,,,,,Disk diffusion,44,,,93.4,CLSI 2012,10,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Ciproflaxin,CIP,Fluoroquinolones,,,,,,Disk diffusion,14,,,93.4,CLSI 2012,5,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Nalidixic acid,NAL,Fluoroquinolones,,,,,,Disk diffusion,44,,,93.4,CLSI 2012,30,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Sulfamethaxole-trimethoprim,SXT,"Sulfonamide, Trimethoprim and Combinations",,,,,,Disk diffusion,45,,,93.4,CLSI 2012,25,,
10.1186/s12879-017-2437-2,"Abdi, Reta, et al.2017",Determination of the sources and antimicrobial resistance patterns of Salmonella isolated from the poultry industry in Southern Ethiopia,2017,BMC infectious diseases,Ethiopia,ETH,7.16,37.37,2014,2015,Chicken,Salmonella,,,,LivingAnimal,16.7,,45,Tetracycline,TET,Tetracycline,,,,,,Disk diffusion,44,,,93.4,CLSI 2012,30,,
doi.org/10.1155/2017/4317202,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Gentamycin,GEN,Aminoglycosides,0,,,,,Disk diffusion,0,0,21,71.43,CLSI 2011,10,,
doi.org/10.1155/2017/4317203,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Chloromphenicols,CHL,Amphenicols,0,,,,,Disk diffusion,0,1,20,71.43,CLSI 2011,30,,
doi.org/10.1155/2017/4317204,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Cefoxitin,FOX,2nd generation Cephalosporin,10,,,,,Disk diffusion,2,7,12,71.43,CLSI 2011,30,,
doi.org/10.1155/2017/4317205,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Erythromycin,ERY,Macrolides,91,,,,,Disk diffusion,19,2,0,71.43,CLSI 2011,15,,
doi.org/10.1155/2017/4317206,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Amoxicilin,AMX,Penicillin ,10,,,,,Disk diffusion,2,2,17,71.43,CLSI 2011,30,,
doi.org/10.1155/2017/4317207,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Ampicillin,AMP,Penicillin ,24,,,,,Disk diffusion,5,0,16,71.43,CLSI 2011,10,,
doi.org/10.1155/2017/4317208,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Ciproflaxin,CIP,Fluoroquinolones,0,,,,,Disk diffusion,0,0,21,71.43,CLSI 2011,5,,
doi.org/10.1155/2017/4317209,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Norfloxacin,NOR,Fluoroquinolones,0,,,,,Disk diffusion,0,0,21,71.43,CLSI 2011,10,,
doi.org/10.1155/2017/4317210,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Nalidixic acid,NAL,Fluoroquinolones,0,,,,,Disk diffusion,0,2,19,71.43,CLSI 2011,30,,
doi.org/10.1155/2017/4317211,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Sulfamethaxole-trimethoprim,SXT,"Sulfonamide, Trimethoprim and Combinations",10,,,,,Disk diffusion,2,0,19,71.43,CLSI 2011,25,,
doi.org/10.1155/2017/4317212,Azage and Kibret 2017,"The Bacteriological Quality, Safety, and Antibiogram of Salmonella Isolates from Fresh Meat in Retail Shops of Bahir Dar City, Ethiopia",2017,International Journal of food science,Ethiopia,ETH,11.57,37.36,2014,2015,Cattle,Salmonella,,,,Meat,70,,21,Tetracycline,TET,Tetracycline,67,,,,,Disk diffusion,14,0,7,71.43,CLSI 2011,30,,
10.1186/s12917-018-1539-4,Eguale Tadesse 2018,Non-typhoidal Salmonella serovars in poultry farms in central Ethiopia: prevalence and antimicrobial resistance,2018,BMC Veterinary research,Ethiopia,ETH,8.9,38.78,2013,2014,Chicken,Salmonella,,,,LivingAnimal,4.7,,26,Ampicillin,AMP,Penicillin ,42,,,,,Disk diffusion,11,,,22.2,CLSI M100-S23 2013,10,,
10.1186/s12917-018-1539-4,Eguale Tadesse 2018,Non-typhoidal Salmonella serovars in poultry farms in central Ethiopia: prevalence and antimicrobial resistance,2018,BMC Veterinary research,Ethiopia,ETH,8.9,38.78,2013,2014,Chicken,Salmonella,,,,LivingAnimal,4.7,,26,Amoxicillin-clavulanic acid,AMC,Penicillin ,42,,,,,Disk diffusion,11,,,22.2,CLSI M100-S23 2013,30,,
